2021/11/23 - 07:46:59	auto	GETACK	Appliance.System.All	{"system": {"hardware": {"type": "msg200", "subType": "us", "version": "4.0.0", "chipType": "MT7686", "uuid": "", "macAddress": ""}, "firmware": {"version": "4.2.1", "homekitVersion": "2.0.1", "compileTime": "Sep 15 2021 10:21:01", "encrypt": 1, "wifiMac": "", "innerIp": "", "server": "", "port": "", "userId": ""}, "time": {"timestamp": 1637650015, "timezone": "Europe/Rome", "timeRule": [[1616893200, 7200, 1], [1635642000, 3600, 0], [1648342800, 7200, 1], [1667091600, 3600, 0], [1679792400, 7200, 1], [1698541200, 3600, 0], [1711846800, 7200, 1], [1729990800, 3600, 0], [1743296400, 7200, 1], [1761440400, 3600, 0], [1774746000, 7200, 1], [1792890000, 3600, 0], [1806195600, 7200, 1], [1824944400, 3600, 0], [1837645200, 7200, 1], [1856394000, 3600, 0], [1869094800, 7200, 1], [1887843600, 3600, 0], [1901149200, 7200, 1], [1919293200, 3600, 0]]}, "online": {"status": 1, "bindId": "ZtGfG5c5G8B4PGYX", "who": 1}}, "digest": {"togglex": [{"channel": 1, "onoff": 0, "lmTime": 0}], "triggerx": [], "timerx": [], "garageDoor": [{"channel": 1, "open": 1, "lmTime": 0},{"channel": 2, "open": 1, "lmTime": 0},{"channel": 3, "open": 0, "lmTime": 0}]}}
2021/11/23 - 07:46:59	auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key": {}, "Appliance.Config.WifiList": {}, "Appliance.Config.Wifi": {}, "Appliance.Config.WifiX": {}, "Appliance.Config.Trace": {}, "Appliance.Config.Info": {}, "Appliance.System.All": {}, "Appliance.System.Hardware": {}, "Appliance.System.Firmware": {}, "Appliance.System.Debug": {}, "Appliance.System.Online": {}, "Appliance.System.Time": {}, "Appliance.System.Clock": {}, "Appliance.System.Ability": {}, "Appliance.System.Runtime": {}, "Appliance.System.Report": {}, "Appliance.System.Position": {}, "Appliance.System.DNDMode": {}, "Appliance.Control.Multiple": {"maxCmdNum": 5}, "Appliance.Control.ToggleX": {}, "Appliance.Control.TimerX": {"sunOffsetSupport": 1, "notify": ["Appliance.GarageDoor.State"]}, "Appliance.Control.TriggerX": {"notify": ["Appliance.GarageDoor.State"]}, "Appliance.Control.Bind": {}, "Appliance.Control.Unbind": {}, "Appliance.Control.Upgrade": {}, "Appliance.GarageDoor.State": {}, "Appliance.GarageDoor.Config": {}, "Appliance.GarageDoor.MultipleConfig": {}, "Appliance.Digest.TriggerX": {}, "Appliance.Digest.TimerX": {}}
2021/11/23 - 07:47:09	http	GET	Appliance.System.Runtime	{"runtime": {}}
2021/11/23 - 07:47:09	http	GETACK	Appliance.System.Runtime	{"runtime": {"signal": 100}}
2021/11/23 - 07:47:34	http	GET	Appliance.GarageDoor.State	{"state": {}}
2021/11/23 - 07:47:37	http	GETACK	Appliance.GarageDoor.State	{"state": {"channel": 1, "open": 1, "lmTime": 0}}
2021/11/23 - 07:47:39	http	GET	Appliance.GarageDoor.Config	{"config": {}}
2021/11/23 - 07:47:45	http	GETACK	Appliance.GarageDoor.Config	{"config": {"signalDuration": 1000, "buzzerEnable": 0}}
2021/11/23 - 07:47:39	http	GET	Appliance.GarageDoor.MultipleConfig	{"config": []}
2021/11/23 - 07:47:45	http	GETACK	Appliance.GarageDoor.MultipleConfig	{"config":[{"channel":1,"doorEnable":1,"timestamp":0,"timestampMs":0,"signalClose":10000,"signalOpen":10000,"buzzerEnable":1},{"channel":2,"doorEnable":0,"timestamp":1699130744,"timestampMs":87,"signalClose":10000,"signalOpen":10000,"buzzerEnable":1},{"channel":3,"doorEnable":0,"timestamp":1699130748,"timestampMs":663,"signalClose":10000,"signalOpen":10000,"buzzerEnable":1}]}
