2024/01/24 - 17:26:20		auto	GETACK	Appliance.System.All	{"system": {"hardware": {"type": "msh300hk", "subType": "un", "version": "4.0.0", "chipType": "MT7686", "uuid": "###############################1", "macAddress": "################1"}, "firmware": {"version": "4.5.32", "homekitVersion": "4.1", "compileTime": "2023/10/11 13:44:52 GMT +08:00", "encrypt": 1, "wifiMac": "################1", "innerIp": "############1", "server": "#################0", "port": "@0", "userId": "@0"}, "time": {"timestamp": 1706113568, "timezone": "Europe/London", "timeRule": [[1616893200, 3600, 1], [1635642000, 0, 0], [1648342800, 3600, 1], [1667091600, 0, 0], [1679792400, 3600, 1], [1698541200, 0, 0], [1711846800, 3600, 1], [1729990800, 0, 0], [1743296400, 3600, 1], [1761440400, 0, 0], [1774746000, 3600, 1], [1792890000, 0, 0], [1806195600, 3600, 1], [1824944400, 0, 0], [1837645200, 3600, 1], [1856394000, 0, 0], [1869094800, 3600, 1], [1887843600, 0, 0], [1901149200, 3600, 1], [1919293200, 0, 0]]}, "online": {"status": 1, "bindId": "hrmFb7gWuQC6dUGu", "who": 1}}, "digest": {"hub": {"hubId": 3919900926, "mode": 0, "nvdmChl": 2, "workChl": 2, "curChl": 2, "subdevice": [{"id": "01003166", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113485, "mts100": {"mode": 3}}, {"id": "0300DAB1", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113468, "mts150": {"mode": 3, "currentSet": 60, "updateMode": 3, "updateTemp": 175, "motorCurLocation": 0, "motorStartCtr": 883, "motorTotalPath": 69852}}, {"id": "01003524", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113563, "mts100": {"mode": 3}}, {"id": "0100093F", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113534, "mts100": {"mode": 3}}, {"id": "01005C75", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113456, "mts100": {"mode": 3}}, {"id": "0100FAC0", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113525, "mts100": {"mode": 3}}, {"id": "0300F670", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113535, "mts150": {"mode": 3, "currentSet": 190, "updateMode": 3, "updateTemp": 185, "motorCurLocation": 168, "motorStartCtr": 1691, "motorTotalPath": 267340}}, {"id": "01000671", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113494, "mts100": {"mode": 3}}, {"id": "030011B6", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113467, "mts150": {"mode": 3, "currentSet": 190, "updateMode": 3, "updateTemp": 215, "motorCurLocation": 0, "motorStartCtr": 210, "motorTotalPath": 21288}}, {"id": "030011B6", "status": 0, "scheduleBMode": 6, "onoff": 0, "lastActiveTime": 0, "mts150": {"mode": 0, "currentSet": 0, "updateMode": 0, "updateTemp": 0, "motorCurLocation": 0, "motorStartCtr": 0, "motorTotalPath": 0}}, {"id": "0100DEE3", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113473, "mts100": {"mode": 3}}, {"id": "030004B4", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113475, "mts150": {"mode": 3, "currentSet": 140, "updateMode": 3, "updateTemp": 170, "motorCurLocation": 0, "motorStartCtr": 271, "motorTotalPath": 17672}}, {"id": "0100813A", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113556, "mts100": {"mode": 3}}, {"id": "03004586", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113474, "mts150": {"mode": 3, "currentSet": 190, "updateMode": 3, "updateTemp": 190, "motorCurLocation": 600, "motorStartCtr": 688, "motorTotalPath": 126780}}, {"id": "03003F30", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113509, "mts150": {"mode": 3, "currentSet": 200, "updateMode": 3, "updateTemp": 225, "motorCurLocation": 0, "motorStartCtr": 834, "motorTotalPath": 91960}}, {"id": "03004404", "status": 1, "scheduleBMode": 6, "onoff": 1, "lastActiveTime": 1706113561, "mts150": {"mode": 3, "currentSet": 205, "updateMode": 3, "updateTemp": 215, "motorCurLocation": 0, "motorStartCtr": 992, "motorTotalPath": 89404}}]}}}
2024/01/24 - 17:26:20		auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key": {}, "Appliance.Config.WifiList": {}, "Appliance.Config.Wifi": {}, "Appliance.Config.WifiX": {}, "Appliance.Config.Trace": {}, "Appliance.Config.Info": {}, "Appliance.System.All": {}, "Appliance.System.Hardware": {}, "Appliance.System.Firmware": {}, "Appliance.System.Debug": {}, "Appliance.System.Online": {}, "Appliance.System.Time": {}, "Appliance.System.Clock": {}, "Appliance.System.Ability": {}, "Appliance.System.Runtime": {}, "Appliance.System.Report": {}, "Appliance.System.Position": {}, "Appliance.System.DNDMode": {}, "Appliance.Control.Multiple": {"maxCmdNum": 5}, "Appliance.Control.Bind": {}, "Appliance.Control.Unbind": {}, "Appliance.Control.Upgrade": {}, "Appliance.Hub.Online": {}, "Appliance.Hub.ToggleX": {}, "Appliance.Hub.SubdeviceList": {}, "Appliance.Hub.Battery": {}, "Appliance.Hub.Sensitivity": {}, "Appliance.Hub.PairSubDev": {}, "Appliance.Hub.Report": {}, "Appliance.Hub.Mts100.All": {}, "Appliance.Hub.Mts100.Temperature": {}, "Appliance.Hub.Mts100.ScheduleB": {"scheduleUnitTime": 15}, "Appliance.Hub.Mts100.Mode": {}, "Appliance.Hub.Mts100.Adjust": {}, "Appliance.Hub.Mts100.SuperCtl": {}, "Appliance.Hub.Mts100.Config": {}, "Appliance.Hub.SubDevice.MotorAdjust": {}, "Appliance.Hub.SubDevice.Beep": {}, "Appliance.Hub.SubDevice.Version": {}, "Appliance.Hub.Sensor.All": {}, "Appliance.Hub.Sensor.WaterLeak": {}, "Appliance.Hub.Sensor.TempHum": {}, "Appliance.Hub.Sensor.Adjust": {}, "Appliance.Hub.Sensor.Motion": {}, "Appliance.Hub.Sensor.DoorWindow": {}, "Appliance.Hub.Sensor.Smoke": {}, "Appliance.Hub.Sensor.Alert": {}}
2024/01/24 - 17:26:20	TX	http	GET	Appliance.Config.Info	{"info": {}}
2024/01/24 - 17:26:20	RX	http	GETACK	Appliance.Config.Info	{"info": {"homekit": {"model": "MSH300HK", "sn": "620802220802108", "category": 2, "setupId": "9SJ1", "setupCode": "804-60-986", "uuid": "###################################2", "token": "###########################################################################################################################################################################################################################################################################################################################################################################################################################################################################0"}}}
2024/01/24 - 17:26:20		auto	LOG	DEBUG	handler undefined for method:(GETACK) namespace:(Appliance.Config.Info) payload:({'info': {'homekit': {'model': 'MSH300HK', 'sn': '620802220802108', 'category': 2, 'setupId': '9SJ1', 'setupCode': '804-60-986', 'uuid': '###################################2', 'token': '###########################################################################################################################################################################################################################################################################################################################################################################################################################################################################0'}}})
2024/01/24 - 17:26:22	TX	http	GET	Appliance.System.Runtime	{"runtime": {}}
2024/01/24 - 17:26:22	RX	http	GETACK	Appliance.System.Runtime	{"runtime": {"signal": 76}}
2024/01/24 - 17:26:24	TX	http	GET	Appliance.Hub.Online	{"online": []}
2024/01/24 - 17:26:24	RX	http	GETACK	Appliance.Hub.Online	{"online": [{"id": "01003166", "status": 1, "lastActiveTime": 1706113485}, {"id": "0300DAB1", "status": 1, "lastActiveTime": 1706113468}, {"id": "01003524", "status": 1, "lastActiveTime": 1706113563}, {"id": "0100093F", "status": 1, "lastActiveTime": 1706113534}, {"id": "01005C75", "status": 1, "lastActiveTime": 1706113456}, {"id": "0100FAC0", "status": 1, "lastActiveTime": 1706113525}, {"id": "0300F670", "status": 1, "lastActiveTime": 1706113535}, {"id": "01000671", "status": 1, "lastActiveTime": 1706113494}, {"id": "030011B6", "status": 1, "lastActiveTime": 1706113467}, {"id": "030011B6", "status": 0, "lastActiveTime": 0}, {"id": "0100DEE3", "status": 1, "lastActiveTime": 1706113473}, {"id": "030004B4", "status": 1, "lastActiveTime": 1706113475}, {"id": "0100813A", "status": 1, "lastActiveTime": 1706113556}, {"id": "03004586", "status": 1, "lastActiveTime": 1706113474}, {"id": "03003F30", "status": 1, "lastActiveTime": 1706113509}, {"id": "03004404", "status": 1, "lastActiveTime": 1706113561}]}
2024/01/24 - 17:26:24		auto	LOG	DEBUG	MTS150SubDevice(Playroom radiator) going offline!
2024/01/24 - 17:26:26	TX	http	GET	Appliance.Hub.ToggleX	{"toggleX": []}
